Name,Price
Qkz KQZ CK5 Stereo Running Sport Earphone Noise Cancelling HIFI  Headset,KSh 797
Generic Mini Hair Straightener Portable Flat Iron Electric Hair Straightener Portable Flat Iron,KSh 599
Teeth Whitening Tooth Whitener Stains Remover,KSh 450
Vaseline Lip Therapy Aloe Vera 20G,KSh 380
XIAOMI Redmi Buds 3 Lite - White,"KSh 2,799"
Generic 37 Grids Silicon Ice Cube Maker Tray + Top Cover - 1 Piece,KSh 650
Generic Silicone Cake Spatula Heat Resistant Cream Butter-Blue,KSh 65
Generic Under The Door Space Sealere Door Space Sealer,KSh 950
Generic 1.5m HDMI Cable Wire High Speed With FULL HD,KSh 240
Generic 18 Inch Travel Set Suitcase Doll Green,KSh 551
"Nokia 106 1.8""(Dual Sim),4MB RAM + 4MB ROM-black,,W.S""","KSh 1,900"
Fashion Men's Loafers  Pure Leather Slips Ons - Black,"KSh 1,199"
Generic 36W LED UV Nail Gel Polish Dryer Lamp Light Machine,"KSh 1,359"
Fashion 4PCs Breathtaking Transparent Mesh Lace Floral Lace Panties(Size From Hips 36-50inches),KSh 797
Pampers Pampers Pants Low Count Junior 8 Diapers,KSh 230
Noor Collection Herbal Beauty Cream- Noorshop,KSh 260 - KSh 329
Generic Faiba  MF8 Pocket Mifi  Battery,KSh 729
Disaar Hair Growth Baldness Essential Oil,KSh 450
Fashion 2 Turkey Black and grey Official Trouser,"KSh 2,499"
Generic Baby Walker/stroller/push/walker With Music,"KSh 3,499"
Generic Portable Uniqu Shoe Rack- Vary,KSh 920 - KSh 939
Fashion Warm Heavy Super Soft Baby Shawl,"KSh 1,250 - KSh 1,300"
Generic 2 Pack Draft Blocker For Bottom Of Door Seal,KSh 899 - KSh 999
MK Tv Guard + Extension+headsets +fridge Guard,"KSh 1,820"
Fashion Plain Boys Hats School Uniform Beanie Caps,KSh 299
Generic Anti-static Detangling Hairbrush Comb,KSh 499
Generic Fancy Laptop Sleeve/Pouch,"KSh 530 - KSh 1,050"
Generic Fasdga HDMI To VGA Converter Adapter + 3.5 Mm Audio Jack,KSh 499
